Reading data
Parsing data
Sorting data
DONE
epoch 0 avg test error: 0.13648325
epoch 1 0.000%, output: 0.510, train error: 0.13091776
epoch 1 1.060%, output: 0.867, train error: 0.010197101
epoch 1 1.082%, output: 0.868, train error: 0.00023320004
epoch 1 1.104%, output: 0.869, train error: 0.011211273
epoch 1 1.126%, output: 0.865, train error: 0.00061818975
epoch 1 1.148%, output: 0.870, train error: 0.003518647
epoch 1 1.170%, output: 0.868, train error: 0.002920742
epoch 1 1.192%, output: 0.870, train error: 0.004945306
epoch 1 1.214%, output: 0.865, train error: 0.010145596
epoch 1 1.236%, output: 0.871, train error: 0.013415043
epoch 1 1.259%, output: 0.878, train error: 0.0008509432
epoch 1 1.281%, output: 0.876, train error: 0.0008918023
epoch 1 1.303%, output: 0.877, train error: 0.015138758
epoch 1 1.325%, output: 0.881, train error: 0.0046074563
epoch 1 1.347%, output: 0.879, train error: 0.0014415811
epoch 1 1.369%, output: 0.878, train error: 0.0148215955
epoch 1 1.391%, output: 0.880, train error: 0.050996747
epoch 1 1.413%, output: 0.872, train error: 0.00043540393
epoch 1 1.435%, output: 0.876, train error: 0.0009548764
epoch 1 1.457%, output: 0.874, train error: 0.00004887365
epoch 1 1.479%, output: 0.877, train error: 0.018639216
epoch 1 1.501%, output: 0.868, train error: 0.0053078416
epoch 1 1.524%, output: 0.873, train error: 0.0019640077
epoch 1 1.546%, output: 0.878, train error: 0.0011579206
epoch 1 1.568%, output: 0.879, train error: 0.00032406248
epoch 1 1.590%, output: 0.876, train error: 0.016575143
epoch 1 1.612%, output: 0.870, train error: 0.00802447
epoch 1 1.634%, output: 0.869, train error: 0.0035782324
epoch 1 1.656%, output: 0.871, train error: 0.007071117
epoch 1 1.678%, output: 0.874, train error: 0.009657906
epoch 1 1.700%, output: 0.868, train error: 0.025453335
epoch 1 1.722%, output: 0.866, train error: 0.0077304104
epoch 1 1.744%, output: 0.861, train error: 0.0058314395
epoch 1 1.766%, output: 0.864, train error: 0.004773759
epoch 1 1.788%, output: 0.864, train error: 0.017892353
epoch 1 1.811%, output: 0.856, train error: 0.0046703154
epoch 1 1.833%, output: 0.859, train error: 0.008650351
epoch 1 1.855%, output: 0.865, train error: 0.0035215258
epoch 1 1.877%, output: 0.866, train error: 0.0025684969
epoch 1 1.899%, output: 0.868, train error: 0.004461173
epoch 1 1.921%, output: 0.865, train error: 0.0005988962
epoch 1 1.943%, output: 0.863, train error: 0.0061256825
epoch 1 1.965%, output: 0.868, train error: 0.0010054654
epoch 1 1.987%, output: 0.868, train error: 0.0015701492
epoch 1 2.009%, output: 0.864, train error: 0.0021312777
epoch 1 2.031%, output: 0.867, train error: 0.00044466622
epoch 1 2.053%, output: 0.864, train error: 0.0072740815
epoch 1 2.076%, output: 0.869, train error: 0.0019774707
epoch 1 2.098%, output: 0.872, train error: 0.00039494177
epoch 1 2.120%, output: 0.868, train error: 0.0076194797
epoch 1 2.142%, output: 0.867, train error: 0.022708165
epoch 1 2.164%, output: 0.864, train error: 0.0026871576
epoch 1 2.186%, output: 0.864, train error: 0.000008749762
epoch 1 2.208%, output: 0.865, train error: 0.0027110016
epoch 1 2.230%, output: 0.866, train error: 0.00013514736
epoch 1 2.252%, output: 0.864, train error: 0.0068957503
epoch 1 2.274%, output: 0.869, train error: 0.002618801
epoch 1 2.296%, output: 0.873, train error: 0.00018691202
epoch 1 2.318%, output: 0.869, train error: 0.0028690267
epoch 1 2.340%, output: 0.873, train error: 0.027742708
epoch 1 2.363%, output: 0.865, train error: 0.0009751474
epoch 1 2.385%, output: 0.868, train error: 0.0017456627
epoch 1 2.407%, output: 0.870, train error: 0.016926557
epoch 1 2.429%, output: 0.875, train error: 0.0047888765
epoch 1 2.451%, output: 0.875, train error: 0.0028604642
epoch 1 2.473%, output: 0.878, train error: 0.006778541
epoch 1 2.495%, output: 0.883, train error: 0.0021227505
epoch 1 2.517%, output: 0.883, train error: 0.00052684447
epoch 1 2.539%, output: 0.880, train error: 0.0000011738284
epoch 1 2.561%, output: 0.879, train error: 0.0038724085
epoch 1 2.583%, output: 0.881, train error: 0.010220782
epoch 1 2.605%, output: 0.884, train error: 0.004981209
epoch 1 2.628%, output: 0.883, train error: 0.0033137675
epoch 1 2.650%, output: 0.883, train error: 0.008194609
epoch 1 2.672%, output: 0.877, train error: 0.0038585858
epoch 1 2.694%, output: 0.880, train error: 0.00076409726
epoch 1 2.716%, output: 0.880, train error: 0.0028211789
epoch 1 2.738%, output: 0.883, train error: 0.0000014753101
epoch 1 2.760%, output: 0.883, train error: 0.00043530195
epoch 1 2.782%, output: 0.882, train error: 0.0016475471
epoch 1 2.804%, output: 0.886, train error: 0.03931783
epoch 1 2.826%, output: 0.878, train error: 0.007491026
epoch 1 2.848%, output: 0.883, train error: 0.012578561
epoch 1 2.870%, output: 0.879, train error: 0.014657764
epoch 1 2.892%, output: 0.882, train error: 0.0020073322
epoch 1 2.915%, output: 0.883, train error: 0.00025542342
epoch 1 2.937%, output: 0.884, train error: 0.00031451136
epoch 1 2.959%, output: 0.884, train error: 0.0068745525
epoch 1 2.981%, output: 0.886, train error: 0.0076320656
epoch 1 3.003%, output: 0.887, train error: 0.017672123
epoch 1 3.025%, output: 0.880, train error: 0.0077022207
epoch 1 3.047%, output: 0.882, train error: 0.020848382
epoch 1 3.069%, output: 0.878, train error: 0.0019684373
epoch 1 3.091%, output: 0.877, train error: 0.0010407884
epoch 1 3.113%, output: 0.880, train error: 0.0017510658
epoch 1 3.135%, output: 0.881, train error: 0.0010296233
epoch 1 3.157%, output: 0.883, train error: 0.007158305
epoch 1 3.180%, output: 0.880, train error: 0.0005254773
epoch 1 3.202%, output: 0.878, train error: 0.0026979456
epoch 1 3.224%, output: 0.886, train error: 0.05462646
epoch 1 3.246%, output: 0.873, train error: 0.017067254
epoch 1 3.268%, output: 0.870, train error: 0.007004802
epoch 1 3.290%, output: 0.869, train error: 0.004635358
epoch 1 3.312%, output: 0.869, train error: 0.00008317743
epoch 1 3.334%, output: 0.868, train error: 0.065588035
epoch 1 3.356%, output: 0.862, train error: 0.007045278
epoch 1 3.378%, output: 0.856, train error: 0.0008539329
epoch 1 3.400%, output: 0.860, train error: 0.0034188328
epoch 1 3.422%, output: 0.857, train error: 0.00086123956
epoch 1 3.444%, output: 0.858, train error: 0.0020355186
epoch 1 3.467%, output: 0.858, train error: 0.005494002
epoch 1 3.489%, output: 0.860, train error: 0.0000038065525
epoch 1 3.511%, output: 0.859, train error: 0.00006295457
epoch 1 3.533%, output: 0.861, train error: 0.004926521
epoch 1 3.555%, output: 0.861, train error: 0.0012878856
epoch 1 3.577%, output: 0.866, train error: 0.0002503317
epoch 1 3.599%, output: 0.865, train error: 0.010283366
epoch 1 3.621%, output: 0.870, train error: 0.0017552037
epoch 1 3.643%, output: 0.867, train error: 0.000034781468
epoch 1 3.665%, output: 0.868, train error: 0.002980646
epoch 1 3.687%, output: 0.870, train error: 0.00003495463
epoch 1 3.709%, output: 0.870, train error: 0.00047034022
epoch 1 3.732%, output: 0.870, train error: 0.009630688
epoch 1 3.754%, output: 0.873, train error: 0.010270254
epoch 1 3.776%, output: 0.870, train error: 0.000788248
epoch 1 3.798%, output: 0.868, train error: 0.0020175572
epoch 1 3.820%, output: 0.870, train error: 0.029123683
epoch 1 3.842%, output: 0.863, train error: 0.010521705
epoch 1 3.864%, output: 0.868, train error: 0.0052595506
epoch 1 3.886%, output: 0.867, train error: 0.028111653
epoch 1 3.908%, output: 0.864, train error: 0.0038808996
epoch 1 3.930%, output: 0.859, train error: 0.02026066
epoch 1 3.952%, output: 0.855, train error: 0.004678286
epoch 1 3.974%, output: 0.857, train error: 0.0001683423
epoch 1 3.996%, output: 0.853, train error: 0.0010803111
epoch 1 4.019%, output: 0.859, train error: 0.0011136496
epoch 1 4.041%, output: 0.857, train error: 0.006050583
epoch 1 4.063%, output: 0.864, train error: 0.00048225818
epoch 1 4.085%, output: 0.864, train error: 0.004406529
epoch 1 4.107%, output: 0.859, train error: 0.0059569315
epoch 1 4.129%, output: 0.861, train error: 0.0025296106
epoch 1 4.151%, output: 0.866, train error: 0.007988864
epoch 1 4.173%, output: 0.867, train error: 0.0016143341
epoch 1 4.195%, output: 0.874, train error: 0.112923816
epoch 1 4.217%, output: 0.857, train error: 0.02725208
epoch 1 4.239%, output: 0.850, train error: 0.011114028
epoch 1 4.261%, output: 0.857, train error: 0.003165542
epoch 1 4.284%, output: 0.858, train error: 0.001290715
epoch 1 4.306%, output: 0.860, train error: 0.0015228676
epoch 1 4.328%, output: 0.856, train error: 0.007953974
epoch 1 4.350%, output: 0.864, train error: 0.004612782
epoch 1 4.372%, output: 0.860, train error: 0.004831795
epoch 1 4.394%, output: 0.860, train error: 0.002918056
epoch 1 4.416%, output: 0.862, train error: 0.02605903
epoch 1 4.438%, output: 0.852, train error: 0.0064445157
epoch 1 4.460%, output: 0.852, train error: 0.011422139
epoch 1 4.482%, output: 0.855, train error: 0.012368324
epoch 1 4.504%, output: 0.857, train error: 0.01820204
epoch 1 4.526%, output: 0.852, train error: 0.0017837463
epoch 1 4.548%, output: 0.859, train error: 0.025554996
epoch 1 4.571%, output: 0.851, train error: 0.020539518
epoch 1 4.593%, output: 0.842, train error: 0.039700866
epoch 1 4.615%, output: 0.835, train error: 0.009270649
epoch 1 4.637%, output: 0.826, train error: 0.005193355
epoch 1 4.659%, output: 0.832, train error: 0.015551669
epoch 1 4.681%, output: 0.837, train error: 0.0024764237
epoch 1 4.703%, output: 0.838, train error: 0.0076501244
epoch 1 4.725%, output: 0.843, train error: 0.013062204
epoch 1 4.747%, output: 0.850, train error: 0.015165979
epoch 1 4.769%, output: 0.853, train error: 0.015273882
epoch 1 4.791%, output: 0.858, train error: 0.0011648961
epoch 1 4.813%, output: 0.862, train error: 0.12563585
epoch 1 4.836%, output: 0.846, train error: 0.0000008788347
epoch 1 4.858%, output: 0.847, train error: 0.006640918
epoch 1 4.880%, output: 0.853, train error: 0.0016342145
epoch 1 4.902%, output: 0.849, train error: 0.0055978512
epoch 1 4.924%, output: 0.844, train error: 0.0010550977
epoch 1 4.946%, output: 0.849, train error: 0.002805498
epoch 1 4.968%, output: 0.847, train error: 0.003398357
epoch 1 4.990%, output: 0.846, train error: 0.0014801358
epoch 1 5.012%, output: 0.846, train error: 0.014742287
epoch 1 5.034%, output: 0.856, train error: 0.0000025995296
epoch 1 5.056%, output: 0.853, train error: 0.023920929
epoch 1 5.078%, output: 0.848, train error: 0.000000093897796
epoch 1 5.100%, output: 0.850, train error: 0.086511455
epoch 1 5.123%, output: 0.830, train error: 0.0019133418
epoch 1 5.145%, output: 0.835, train error: 0.00039133016
epoch 1 5.167%, output: 0.836, train error: 0.011339247
epoch 1 5.189%, output: 0.832, train error: 0.000026589667
epoch 1 5.211%, output: 0.833, train error: 0.007469725
epoch 1 5.233%, output: 0.835, train error: 0.004233946
epoch 1 5.255%, output: 0.837, train error: 0.0010225665
epoch 1 5.277%, output: 0.843, train error: 0.00093628047
epoch 1 5.299%, output: 0.845, train error: 0.0019277135
epoch 1 5.321%, output: 0.840, train error: 0.014898018
epoch 1 5.343%, output: 0.833, train error: 0.023710562
epoch 1 5.365%, output: 0.843, train error: 0.0004315123
epoch 1 5.388%, output: 0.842, train error: 0.024848465
epoch 1 5.410%, output: 0.854, train error: 0.00043961036
epoch 1 5.432%, output: 0.851, train error: 0.003032099
epoch 1 5.454%, output: 0.848, train error: 0.0025979793
epoch 1 5.476%, output: 0.851, train error: 0.0032056423
epoch 1 5.498%, output: 0.852, train error: 0.0020967529
epoch 1 5.520%, output: 0.856, train error: 0.0009477287
epoch 1 5.542%, output: 0.856, train error: 0.015962135
epoch 1 5.564%, output: 0.863, train error: 0.014537787
epoch 1 5.586%, output: 0.857, train error: 0.01688607
epoch 1 5.608%, output: 0.862, train error: 0.07605554
epoch 1 5.630%, output: 0.849, train error: 0.0061119935
epoch 1 5.652%, output: 0.857, train error: 0.006640733
epoch 1 5.675%, output: 0.859, train error: 0.010279256
epoch 1 5.697%, output: 0.863, train error: 0.00035942733
epoch 1 5.719%, output: 0.863, train error: 0.0000014452033
epoch 1 5.741%, output: 0.864, train error: 0.020845233
epoch 1 5.763%, output: 0.857, train error: 0.0020701506
epoch 1 5.785%, output: 0.858, train error: 0.002469707
epoch 1 5.807%, output: 0.856, train error: 0.0021003408
epoch 1 5.829%, output: 0.861, train error: 0.0003345344
epoch 1 5.851%, output: 0.859, train error: 0.0066428026
epoch 1 5.873%, output: 0.863, train error: 0.000084355765
epoch 1 5.895%, output: 0.866, train error: 0.0038213846
epoch 1 5.917%, output: 0.859, train error: 0.002893438
epoch 1 5.940%, output: 0.858, train error: 0.0015975231
epoch 1 5.962%, output: 0.857, train error: 0.006485722
epoch 1 5.984%, output: 0.860, train error: 0.00042895807
epoch 1 6.006%, output: 0.861, train error: 0.0014554417
epoch 1 6.028%, output: 0.861, train error: 0.0005807614
epoch 1 6.050%, output: 0.861, train error: 0.0054418966
epoch 1 6.072%, output: 0.858, train error: 0.008396359
epoch 1 6.094%, output: 0.861, train error: 0.000022809047
epoch 1 6.116%, output: 0.863, train error: 0.008570387
epoch 1 6.138%, output: 0.867, train error: 0.002514231
epoch 1 6.160%, output: 0.868, train error: 0.0036271738
epoch 1 6.182%, output: 0.866, train error: 0.019629396
epoch 1 6.204%, output: 0.863, train error: 0.0809585
epoch 1 6.227%, output: 0.849, train error: 0.0005924024
epoch 1 6.249%, output: 0.847, train error: 0.009113966
epoch 1 6.271%, output: 0.854, train error: 0.011202023
epoch 1 6.293%, output: 0.858, train error: 0.016103523
epoch 1 6.315%, output: 0.862, train error: 0.00025700527
epoch 1 6.337%, output: 0.864, train error: 0.027969385
epoch 1 6.359%, output: 0.858, train error: 0.010995784
epoch 1 6.381%, output: 0.854, train error: 0.000044551714
epoch 1 6.403%, output: 0.850, train error: 0.00022286605
epoch 1 6.425%, output: 0.853, train error: 0.04468128
epoch 1 6.447%, output: 0.843, train error: 0.02471978
epoch 1 6.469%, output: 0.851, train error: 0.0010790773
epoch 1 6.491%, output: 0.848, train error: 0.000041500265
epoch 1 6.514%, output: 0.849, train error: 0.021411806
epoch 1 6.536%, output: 0.844, train error: 0.000049455408
epoch 1 6.558%, output: 0.841, train error: 0.0024983683
epoch 1 6.580%, output: 0.846, train error: 0.015636416
epoch 1 6.602%, output: 0.850, train error: 0.0033242062
epoch 1 6.624%, output: 0.855, train error: 0.00057923124
epoch 1 6.646%, output: 0.855, train error: 0.0008999768
epoch 1 6.668%, output: 0.856, train error: 0.008983581
epoch 1 6.690%, output: 0.857, train error: 0.007083613
epoch 1 6.712%, output: 0.853, train error: 0.0011186079
epoch 1 6.734%, output: 0.854, train error: 0.002876675
epoch 1 6.756%, output: 0.851, train error: 0.00042190135
epoch 1 6.779%, output: 0.850, train error: 0.008566404
epoch 1 6.801%, output: 0.852, train error: 0.0000015775086
epoch 1 6.823%, output: 0.853, train error: 0.00423691
epoch 1 6.845%, output: 0.857, train error: 0.0003904581
epoch 1 6.867%, output: 0.857, train error: 0.000028189126
epoch 1 6.889%, output: 0.856, train error: 0.0000007399685
epoch 1 6.911%, output: 0.856, train error: 0.0171721
epoch 1 6.933%, output: 0.863, train error: 0.005025748
epoch 1 6.955%, output: 0.864, train error: 0.0077606677
epoch 1 6.977%, output: 0.861, train error: 0.0127916485
epoch 1 6.999%, output: 0.856, train error: 0.01681872
epoch 1 7.021%, output: 0.861, train error: 0.0017895661
epoch 1 7.043%, output: 0.858, train error: 0.0019423335
epoch 1 7.066%, output: 0.863, train error: 0.008037107
epoch 1 7.088%, output: 0.865, train error: 0.016209971
epoch 1 7.110%, output: 0.863, train error: 0.0076298057
epoch 1 7.132%, output: 0.859, train error: 0.00016882832
epoch 1 7.154%, output: 0.857, train error: 0.0015534954
epoch 1 7.176%, output: 0.857, train error: 0.0033224951
epoch 1 7.198%, output: 0.859, train error: 0.001962233
epoch 1 7.220%, output: 0.855, train error: 0.00025741634
epoch 1 7.242%, output: 0.860, train error: 0.014334315
epoch 1 7.264%, output: 0.864, train error: 0.0018652219
epoch 1 7.286%, output: 0.864, train error: 0.0128579065
epoch 1 7.308%, output: 0.868, train error: 0.0012547369
epoch 1 7.331%, output: 0.868, train error: 0.0064705145
epoch 1 7.353%, output: 0.869, train error: 0.0046870555
epoch 1 7.375%, output: 0.872, train error: 0.0837598
epoch 1 7.397%, output: 0.862, train error: 0.0000014552523
epoch 1 7.419%, output: 0.863, train error: 0.0035370493
epoch 1 7.441%, output: 0.864, train error: 0.007778384
epoch 1 7.463%, output: 0.863, train error: 0.0011702076
epoch 1 7.485%, output: 0.864, train error: 0.003807028
epoch 1 7.507%, output: 0.868, train error: 0.0047072275
epoch 1 7.529%, output: 0.871, train error: 0.009081912
epoch 1 7.551%, output: 0.868, train error: 0.030136386
epoch 1 7.573%, output: 0.860, train error: 0.0011263841
epoch 1 7.595%, output: 0.862, train error: 0.0071123065
epoch 1 7.618%, output: 0.864, train error: 0.00940485
epoch 1 7.640%, output: 0.862, train error: 0.003202147
epoch 1 7.662%, output: 0.863, train error: 0.00017303634
epoch 1 7.684%, output: 0.861, train error: 0.0055634854
epoch 1 7.706%, output: 0.869, train error: 0.0071456325
epoch 1 7.728%, output: 0.868, train error: 0.0000020980146
epoch 1 7.750%, output: 0.868, train error: 0.01378161
epoch 1 7.772%, output: 0.873, train error: 0.0026714539
epoch 1 7.794%, output: 0.871, train error: 0.0049317935
epoch 1 7.816%, output: 0.870, train error: 0.0058707586
epoch 1 7.838%, output: 0.874, train error: 0.00308249
epoch 1 7.860%, output: 0.869, train error: 0.008224809
epoch 1 7.883%, output: 0.866, train error: 0.019104475
epoch 1 7.905%, output: 0.861, train error: 0.003089874
epoch 1 7.927%, output: 0.859, train error: 0.001312576
epoch 1 7.949%, output: 0.860, train error: 0.033416994
epoch 1 7.971%, output: 0.852, train error: 0.0063623064
epoch 1 7.993%, output: 0.854, train error: 0.00698278
epoch 1 8.015%, output: 0.849, train error: 0.037892006
epoch 1 8.037%, output: 0.843, train error: 0.00006884163
epoch 1 8.059%, output: 0.841, train error: 0.01027731
epoch 1 8.081%, output: 0.846, train error: 0.009572434
epoch 1 8.103%, output: 0.849, train error: 0.0008868041
epoch 1 8.125%, output: 0.851, train error: 0.004869771
epoch 1 8.147%, output: 0.856, train error: 0.010288443
epoch 1 8.170%, output: 0.851, train error: 0.00050758297
epoch 1 8.192%, output: 0.851, train error: 0.0006443207
epoch 1 8.214%, output: 0.850, train error: 0.008814304
epoch 1 8.236%, output: 0.845, train error: 0.0021007396
epoch 1 8.258%, output: 0.846, train error: 0.009114591
epoch 1 8.280%, output: 0.854, train error: 0.00004137365
epoch 1 8.302%, output: 0.852, train error: 0.0008874787
epoch 1 8.324%, output: 0.853, train error: 0.0035100677
epoch 1 8.346%, output: 0.852, train error: 0.013406126
epoch 1 8.368%, output: 0.859, train error: 0.0011060523
epoch 1 8.390%, output: 0.858, train error: 0.0023281737
epoch 1 8.412%, output: 0.863, train error: 0.011991618
epoch 1 8.435%, output: 0.865, train error: 0.0006619876
epoch 1 8.457%, output: 0.867, train error: 0.017768923
epoch 1 8.479%, output: 0.871, train error: 0.0022216516
epoch 1 8.501%, output: 0.872, train error: 0.0051596565
epoch 1 8.523%, output: 0.870, train error: 0.00079938537
epoch 1 8.545%, output: 0.872, train error: 0.0044624787
epoch 1 8.567%, output: 0.868, train error: 0.013784171
epoch 1 8.589%, output: 0.872, train error: 0.00016591199
epoch 1 8.611%, output: 0.874, train error: 0.004190203
epoch 1 8.633%, output: 0.874, train error: 0.0014541594
epoch 1 8.655%, output: 0.876, train error: 0.0012599234
epoch 1 8.677%, output: 0.878, train error: 0.018062193
epoch 1 8.699%, output: 0.875, train error: 0.0021043527
epoch 1 8.722%, output: 0.875, train error: 0.07235843
epoch 1 8.744%, output: 0.865, train error: 0.00522681
epoch 1 8.766%, output: 0.869, train error: 0.0007959142
epoch 1 8.788%, output: 0.871, train error: 0.01112543
epoch 1 8.810%, output: 0.873, train error: 0.011474294
epoch 1 8.832%, output: 0.877, train error: 0.0027187162
epoch 1 8.854%, output: 0.878, train error: 0.00051762577
epoch 1 8.876%, output: 0.878, train error: 0.015404338
epoch 1 8.898%, output: 0.874, train error: 0.012813742
epoch 1 8.920%, output: 0.869, train error: 0.01961405
epoch 1 8.942%, output: 0.865, train error: 0.010602674
epoch 1 8.964%, output: 0.869, train error: 0.005844264
epoch 1 8.987%, output: 0.872, train error: 0.008910615
epoch 1 9.009%, output: 0.870, train error: 0.0002112284
epoch 1 9.031%, output: 0.868, train error: 0.0074078604
epoch 1 9.053%, output: 0.869, train error: 0.0006715299
epoch 1 9.075%, output: 0.871, train error: 0.010313271
epoch 1 9.097%, output: 0.869, train error: 0.061057847
epoch 1 9.119%, output: 0.858, train error: 0.013982897
epoch 1 9.141%, output: 0.862, train error: 0.0011199559
epoch 1 9.163%, output: 0.860, train error: 0.017109344
epoch 1 9.185%, output: 0.859, train error: 0.07672798
epoch 1 9.207%, output: 0.848, train error: 0.016014997
epoch 1 9.229%, output: 0.840, train error: 0.000675304
epoch 1 9.251%, output: 0.842, train error: 0.003402236
epoch 1 9.274%, output: 0.844, train error: 0.0057125166
epoch 1 9.296%, output: 0.848, train error: 0.00035797784
epoch 1 9.318%, output: 0.848, train error: 0.016670587
epoch 1 9.340%, output: 0.842, train error: 0.0027238526
epoch 1 9.362%, output: 0.841, train error: 0.0023782116
epoch 1 9.384%, output: 0.838, train error: 0.00081012916
epoch 1 9.406%, output: 0.841, train error: 0.015152637
epoch 1 9.428%, output: 0.846, train error: 0.010368488
epoch 1 9.450%, output: 0.854, train error: 0.00986998
epoch 1 9.472%, output: 0.854, train error: 0.0027554187
epoch 1 9.494%, output: 0.857, train error: 0.004748457
epoch 1 9.516%, output: 0.860, train error: 0.01966945
epoch 1 9.539%, output: 0.864, train error: 0.0034478975
epoch 1 9.561%, output: 0.864, train error: 0.0028959203
epoch 1 9.583%, output: 0.867, train error: 0.0008613445
epoch 1 9.605%, output: 0.870, train error: 0.0024364898
epoch 1 9.627%, output: 0.872, train error: 0.005846761
epoch 1 9.649%, output: 0.874, train error: 0.008039084
epoch 1 9.671%, output: 0.876, train error: 0.003135966
epoch 1 9.693%, output: 0.873, train error: 0.00076420605
epoch 1 9.715%, output: 0.877, train error: 0.014598146
epoch 1 9.737%, output: 0.876, train error: 0.003171004
epoch 1 9.759%, output: 0.870, train error: 0.000018589562
epoch 1 9.781%, output: 0.871, train error: 0.02835922
epoch 1 9.803%, output: 0.864, train error: 0.011748864
epoch 1 9.826%, output: 0.860, train error: 0.0038182458
epoch 1 9.848%, output: 0.863, train error: 0.01175795
epoch 1 9.870%, output: 0.868, train error: 0.01872182
epoch 1 9.892%, output: 0.861, train error: 0.0014573842
epoch 1 9.914%, output: 0.864, train error: 0.009937078
epoch 1 9.936%, output: 0.859, train error: 0.0091042835
epoch 1 9.958%, output: 0.864, train error: 0.003150469
epoch 1 9.980%, output: 0.862, train error: 0.0056494866
epoch 1 10.002%, output: 0.861, train error: 0.002035965
epoch 1 10.024%, output: 0.867, train error: 0.009544545
epoch 1 10.046%, output: 0.869, train error: 0.0077896584
epoch 1 10.068%, output: 0.866, train error: 0.010289617
epoch 1 10.091%, output: 0.871, train error: 0.009061667
epoch 1 10.113%, output: 0.872, train error: 0.010146906
epoch 1 10.135%, output: 0.873, train error: 0.0063247937
epoch 1 10.157%, output: 0.873, train error: 0.009643116
epoch 1 10.179%, output: 0.875, train error: 0.0019778842
epoch 1 10.201%, output: 0.875, train error: 0.0022287145
epoch 1 10.223%, output: 0.879, train error: 0.0020878322
epoch 1 10.245%, output: 0.882, train error: 0.02490995
epoch 1 10.267%, output: 0.877, train error: 0.011740118
epoch 1 10.289%, output: 0.880, train error: 0.0019380803
epoch 1 10.311%, output: 0.879, train error: 0.019694839
epoch 1 10.333%, output: 0.870, train error: 0.0041020233
epoch 1 10.355%, output: 0.874, train error: 0.0017280458
epoch 1 10.378%, output: 0.875, train error: 0.00014695819
epoch 1 10.400%, output: 0.876, train error: 0.0062577077
epoch 1 10.422%, output: 0.880, train error: 0.00014840106
epoch 1 10.444%, output: 0.879, train error: 0.0011478702
epoch 1 10.466%, output: 0.879, train error: 0.0009527852
epoch 1 10.488%, output: 0.881, train error: 0.0031528447
epoch 1 10.510%, output: 0.878, train error: 0.007999885
epoch 1 10.532%, output: 0.880, train error: 0.0018130419
epoch 1 10.554%, output: 0.882, train error: 0.0031521753
epoch 1 10.576%, output: 0.884, train error: 0.0017540052
epoch 1 10.598%, output: 0.883, train error: 0.073771715
epoch 1 10.620%, output: 0.875, train error: 0.0016343929
epoch 1 10.643%, output: 0.875, train error: 0.0014826594
epoch 1 10.665%, output: 0.878, train error: 0.0017420236
epoch 1 10.687%, output: 0.875, train error: 0.0047608363
epoch 1 10.709%, output: 0.877, train error: 0.0001530904
